eventID,sceneID,speakerID,Anna (1),Elsa (2),Olaf (3),King (4),Queen (5),Kristoff (6),Bulda (8),Grand Pabbie (9),Kai (10),Hans (11),Duke (12),Oaken (13),Gerda (14),Marshmallow (15)
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
19,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0
22,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,5,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,5,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,5,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0
28,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,5,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0
30,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59,12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
